,DFS_Count,DFS_Time,BFS_Count,BFS_Time
5,1,0.0009980201721191406,1,0.0019941329956054688
10,12,0.05585026741027832,6,0.014960527420043945
15,19,0.11170077323913574,13,0.14713644981384277
20,4,0.015955448150634766,2,0.011968612670898438
25,5,0.05585122108459473,3,0.04938030242919922
30,56,1.9069769382476807,32,1.3619422912597656
35,17,0.28441381454467773,9,0.21614408493041992
40,11,0.1458139419555664,10,0.16681575775146484
45,24,0.660804033279419,15,0.5674839019775391
50,22,1.004248857498169,13,0.6890056133270264
55,70,8.997363328933716,40,9.25966739654541
60,13,0.49979662895202637,8,0.3868439197540283
65,42,4.746978282928467,27,5.292959690093994
70,15,0.44141077995300293,10,0.36823320388793945
75,90,23.798219442367554,59,34.88877820968628
80,66,13.35238766670227,42,17.33135461807251
85,97,20.18077254295349,63,31.144383668899536
90,151,96.04847931861877,89,183.68535614013672
95,111,54.85158038139343,56,71.66080403327942
100,16,0.38107752799987793,9,0.25534844398498535
